DatGeracaoConjuntoDados;IdeMdl;IdeTipMdl;DscSitLinTms;IdeLinTms;IdeSbeOri;IdeSbeDsn;NomLinTms;NumCcuLinTms;QtdTorLinTms;NumEtnLinTms;IdeOnsSbeOrigem;NomSubestacaoOrigem;NomLongoSubestacaoOrigem;SigUFSubestacaoOrigem;IdeOnsSbeDestino;NomSubestacaoDestino;NomLongoSubestacaoDestino;SigUFSubestacaoDestino
2024-07-09;20499;4;Ativa;1412;329;330;LT 500 kV MIRANDA II /P.DUTRA MA;2;473;196,7000000000;MAMR;MIRANDA II;SUB MIRANDA II    MA;MA;MAPD;P.DUTRA;SUB PRESIDENTE DUTRA    MA;MA
2024-07-09;20503;4;Ativa;354;800;836;LT 500 kV CUIABA /RIBEIRAOZINHO MT;2;775;364,0000000000;MTCB;CUIABA;SUB CUIABA     MT;MT;MTRB;RIBEIRAOZINHO;SUB RIBEIRAOZINHO    MT;MT
2024-07-09;20506;4;Ativa;375;836;257;LT 500 kV RIBEIRAOZINHO /R.VERDE NORTE MT/GO;2;523;242,0000000000;MTRB;RIBEIRAOZINHO;SUB RIBEIRAOZINHO    MT;MT;GOID;R.VERDE NORTE;SUB RIO VERDE NORTE    GO;GO
2024-07-09;20587;4;Ativa;1419;2843;2531;LT 500 kV ARARAQUARA 2 /ARARAQUARA FURNAS SP;1;35;15,0000000000;SPARA2;ARARAQUARA 2;SUB ARARAQUARA 2 SP;SP;SPSTAR;ARARAQUARA FURNAS;SUB ARARAQUARA FURNAS SP;SP
2024-07-09;20588;4;Ativa;1419;2843;2531;LT 500 kV ARARAQUARA 2 /ARARAQUARA FURNAS SP;2;35;15,0000000000;SPARA2;ARARAQUARA 2;SUB ARARAQUARA 2 SP;SP;SPSTAR;ARARAQUARA FURNAS;SUB ARARAQUARA FURNAS SP;SP
2024-07-09;20589;4;Ativa;1730;2843;1851;LT 440 kV ARARAQUARA 2 /ARARAQUARA SP;1;35;15,0000000000;SPARA2;ARARAQUARA 2;SUB ARARAQUARA 2 SP;SP;SPARA;ARARAQUARA;SUB ARARAQUARA    SP;SP
2024-07-09;20591;4;Ativa;1730;2843;1851;LT 440 kV ARARAQUARA 2 /ARARAQUARA SP;2;35;15,0000000000;SPARA2;ARARAQUARA 2;SUB ARARAQUARA 2 SP;SP;SPARA;ARARAQUARA;SUB ARARAQUARA    SP;SP
2024-07-09;20659;4;Ativa;1429;1596;1540;LT 230 kV SANTO ANGELO /MISSOES RS;1;156;63,9900000000;RSSTA;SANTO ANGELO;SUB SANTO ANGELO     RS;RS;RSMIS;MISSOES;SUB MISSOES    RS;RS
2024-07-09;20660;4;Ativa;1430;1540;1581;LT 230 kV MISSOES /SAO BORJA 2 RS;1;290;111,8500000000;RSMIS;MISSOES;SUB MISSOES    RS;RS;RSSBO2;SAO BORJA 2;SUB SAO BORJA 2 RS;RS
2024-07-09;20785;4;Ativa;1435;16;2845;LT 500 kV MESSIAS /SUAPE II AL/PE;1;48;23,0000000000;ALMSI;MESSIAS;SUB MESSIAS AL;AL;PESUD;SUAPE II;SUB SUAPE II PE;PE
2024-07-09;20786;4;Ativa;1436;2845;957;LT 500 kV SUAPE II /RECIFE II PE;1;50;23,0000000000;PESUD;SUAPE II;SUB SUAPE II PE;PE;PERCD;RECIFE II;SUB RECIFE II     PE;PE
2024-07-09;20811;4;Ativa;1437;954;2845;LT 230 kV PIRAPAMA II /SUAPE II PE;1;6;2,0000000000;PEPRD;PIRAPAMA II;SUB PIRAPAMA II   PE;PE;PESUD;SUAPE II;SUB SUAPE II PE;PE
2024-07-09;20812;4;Ativa;1437;954;2845;LT 230 kV PIRAPAMA II /SUAPE II PE;2;6;2,0000000000;PEPRD;PIRAPAMA II;SUB PIRAPAMA II   PE;PE;PESUD;SUAPE II;SUB SUAPE II PE;PE
2024-07-09;20827;4;Ativa;1438;2845;2846;LT 230 kV SUAPE II /SUAPE III PE;1;8;1,0000000000;PESUD;SUAPE II;SUB SUAPE II PE;PE;PESUT;SUAPE III;SUB SUAPE III     PE;PE
2024-07-09;20828;4;Ativa;1438;2845;2846;LT 230 kV SUAPE II /SUAPE III PE;2;8;1,0000000000;PESUD;SUAPE II;SUB SUAPE II PE;PE;PESUT;SUAPE III;SUB SUAPE III     PE;PE
2024-07-09;21069;4;Ativa;1441;2847;2843;LT 600 kV COLETORA PORTO VELHO /ARARAQUARA 2 RO/SP;3;4339;2412,0000000000;ROCPH;COLETORA PORTO VELHO;SUB COLETORA PORTO VELHO  RO;RO;SPARA2;ARARAQUARA 2;SUB ARARAQUARA 2 SP;SP
2024-07-09;21070;4;Ativa;1441;2847;2843;LT 600 kV COLETORA PORTO VELHO /ARARAQUARA 2 RO/SP;1;4900;2382,0000000000;ROCPH;COLETORA PORTO VELHO;SUB COLETORA PORTO VELHO  RO;RO;SPARA2;ARARAQUARA 2;SUB ARARAQUARA 2 SP;SP
2024-07-09;21085;4;Ativa;1443;2847;1427;LT 230 kV COLETORA PORTO VELHO /PORTO VELHO RO;1;51;22,0000000000;ROCPH;COLETORA PORTO VELHO;SUB COLETORA PORTO VELHO  RO;RO;ROPV;PORTO VELHO;SUB PORTO VELHO   RO;RO
2024-07-09;21086;4;Ativa;1443;2847;1427;LT 230 kV COLETORA PORTO VELHO /PORTO VELHO RO;2;51;22,0000000000;ROCPH;COLETORA PORTO VELHO;SUB COLETORA PORTO VELHO  RO;RO;ROPV;PORTO VELHO;SUB PORTO VELHO   RO;RO
2024-07-09;21154;4;Ativa;1357;62;2819;LT 230 kV EUNAPOLIS /TEIX. FREITAS II BA;2;287;145,0000000000;BAENP;EUNAPOLIS;SUB EUNAPOLIS     BA;BA;BATXF;TEIX. FREITAS II;SUB TEIXEIRA DE FREITAS II BA;BA
2024-07-09;21367;4;Ativa;1456;2161;2849;LT 440 kV ILHA SOLTEIRA /ILHA SOLTEIRA 2 SP/MS;1;22;,0000000000;SPILS;ILHA SOLTEIRA;USI ILHA SOLTEIRA    SP;SP;MSISO2;ILHA SOLTEIRA 2;SUB ILHA SOLTEIRA 2   MS;MS
2024-07-09;21368;4;Ativa;1456;2161;2849;LT 440 kV ILHA SOLTEIRA /ILHA SOLTEIRA 2 SP/MS;2;22;,0000000000;SPILS;ILHA SOLTEIRA;USI ILHA SOLTEIRA    SP;SP;MSISO2;ILHA SOLTEIRA 2;SUB ILHA SOLTEIRA 2   MS;MS
2024-07-09;21369;4;Ativa;1457;2849;2850;LT 230 kV ILHA SOLTEIRA 2 /INOCENCIA MS;1;163;,0000000000;MSISO2;ILHA SOLTEIRA 2;SUB ILHA SOLTEIRA 2   MS;MS;MSINO;INOCENCIA;SUB INOCENCIA   MS;MS
